learning_objectives|taxonomy
A complete chemical equation represents the reactants products and their physical states symbolically.|science>>chemical reactions and equations
A chemical equation is balanced so that the numbers of atoms of each type involved in a chemical reaction are the same on the reactant and product sides of theequation. Equations must always be balanced.|science>>chemical reactions and equations
In a combination reaction two or more substances combine to form a new singlesubstance.|science>>chemical reactions and equations
Decomposition reactions are opposite to combination reactions. In a decomposition reaction a single substance decomposes to give two or more substances.|science>>chemical reactions and equations
Reactions in which heat is given out along with the products are called exothermic reactions.|science>>chemical reactions and equations
Reactions in which energy is absorbed are known as endothermic reactions.|science>>chemical reactions and equations
When an element displaces another element from its compound a displacement reaction occurs.|science>>chemical reactions and equations
Precipitation reactions produce insoluble salts.|science>>chemical reactions and equations
Two different atoms or groups of atoms (ions) are exchanged in double displacement reactions.|science>>chemical reactions and equations
Reactions also involve the gain or loss of oxygen or hydrogen by substances.|science>>chemical reactions and equations
Oxidation is the gain of oxygen or loss of hydrogen.|science>>chemical reactions and equations
Reduction is the loss of oxygen or gain of hydrogen.|science>>chemical reactions and equations
Acid-base indicators are dyes or mixtures of dyes which are used to indicate the presence of acids and bases.|science>>acids, bases and salts
When an acid reacts with a metal hydrogen gas is evolved and a corresponding salt is formed.|science>>acids, bases and salts
When a base reacts with a metal along with the evolution of hydrogen gas a salt is formed which has a negative ion composed of the metal and oxygen.|science>>acids, bases and salts
Acidic and basic solutions in water conduct electricity because they produce hydrogen and hydroxide ions respectively.|science>>acids, bases and salts
Mixing concentrated acids or bases with water is a highly exothermic process.|science>>acids, bases and salts
Acids and bases neutralise each other to form corresponding salts and water.|science>>acids, bases and salts
Water of crystallisation is the fixed number of water molecules present in one formula unit of a salt.|science>>acids, bases and salts
Salts have various uses in everyday life and in industries.|science>>acids, bases and salts
Elements can be classified as metals and non-metals.|science>>metals and non-metal
Metals are lustrous malleable ductile and are good conductors of heat and electricity. They are solids at room temperature, except mercury which is a liquid.|science>>metals and non-metal
Metals can form positive ions by losing electrons to non-metals.|science>>metals and non-metal
Different metals have different reactivities with water and dilute acids.|science>>metals and non-metal
A list of common metals arranged in order of their decreasing reactivity is known as an activity series.|science>>metals and non-metal
Metals above hydrogen in the Activity series can displace hydrogen from dilute acids.|science>>metals and non-metal
A more reactive metal displaces a less reactive metal from its salt solution.|science>>metals and non-metal
Metals occur in nature as free elements or in the form of their compounds.|science>>metals and non-metal
The extraction of metals from their ores and then refining them for use is known as metallurgy.|science>>metals and non-metal
An alloy is a homogeneous mixture of two or more metals or a metal and a non-metal.|science>>metals and non-metal
The surface of some metals such as iron is corroded when they are exposed to moist air for a long period of time. This phenomenon is known as corrosion.|science>>metals and non-metal
Non-metals form negatively charged ions by gaining electrons when reacting with metals.|science>>metals and non-metal
Non-metals form oxides which are either acidic or neutral.|science>>metals and non-metal
Non-metals do not displace hydrogen from dilute acids. They react with hydrogen to form hydrides.|science>>metals and non-metal
Carbon is a versatile element that forms the basis for all living organisms and many of the things we use.|science>>carbon and its compounds
This large variety of compounds is formed by carbon because of its tetravalency and the property of catenation that it exhibits.|science>>carbon and its compounds
Covalent bonds are formed by the sharing of electrons between two atoms so that both can achieve a completely filled outermost shell.|science>>carbon and its compounds
The ability of carbon to form chains gives rise to a homologous series of compounds in which the same functional group is attached to carbon chains of different lengths.|science>>carbon and its compounds
The functional groups such as alcohols aldehydes ketones and carboxylic acids bestow characteristic properties to the carbon compounds that contain them.|science>>carbon and its compounds
Carbon and its compounds are some of our major sources of fuels.|science>>carbon and its compounds
Ethanol and ethanoic acid are carbon compounds of importance in our daily lives.|science>>carbon and its compounds
The action of soaps and detergents is based on the presence of both hydrophobic and hydrophilic groups in the molecule and this helps to emulsify the oily dirt and hence its removal.|science>>carbon and its compounds
Elements are classified on the basis of similarities in their properties.|science>>periodic classification of elements
Mendeléev arranged the elements in increasing order of their atomic masses and according to their chemical properties.|science>>periodic classification of elements
Elements thus arranged show periodicity of properties including atomic size, valency or combining capacity and metallic and non-metallic character.|science>>periodic classification of elements
Elements in the Modern Periodic Table are arranged in 18 vertical columns called groups and 7 horizontal rows called periods.|science>>periodic classification of elements
Movement of various types can be taken as an indication of life.|science>>life processes
Maintenance of life requires processes like nutrition respiration transport of materials within the body and excretion of waste products.|science>>life processes
Autotrophic nutrition involves the intake of simple inorganic materials from the environment and using an external energy source like the Sun to synthesise complex high-energy organic material|science>>life processes
Heterotrophic nutrition involves the intake of complex material prepared by other organisms.|science>>life processes
In human beings the food eaten is broken down by various steps along the alimentary canal and the digested food is absorbed in the small intestine to be sent  to all cells in the body.|science>>life processes
During the process of respiration organic compounds such as glucose are broken down to provide energy in the form of ATP. ATP is used to provide energy for other  reactions in the cell.|science>>life processes
Respiration may be aerobic or anaerobic. Aerobic respiration makes more energy available to the organism.|science>>life processes
In human beings the transport of materials such as oxygen carbon dioxide foodand excretory products is a function of the circulatory system. The circulatory system consists of the heart, blood and blood vessels.|science>>life processes
In highly differentiated plants transport of water minerals food and other materials is a function of the vascular tissue which consists of xylem and phloem.|science>>life processes
In human beings excretory products in the form of soluble nitrogen compounds are removed by the nephrons in the kidneys.|science>>life processes
Plants use a variety of techniques to get rid of waste material. For example waste material may be stored in the cell-vacuoles or as gum and resin removed in the falling leaves or excreted into the surrounding soil.|science>>life processes
Control and coordination are the functions of the nervous system and hormones in our bodies.|science>>control and coordination
The responses of the nervous system can be classified as reflex action voluntary action or involuntary action.|science>>control and coordination
The nervous system uses electrical impulses to transmit messages.|science>>control and coordination
The nervous system gets information from our sense organs and acts through our muscles.|science>>control and coordination
Chemical coordination is seen in both plants and animals.|science>>control and coordination
Hormones produced in one part of an organism move to another part to achieve the desired effect.|science>>control and coordination
A feedback mechanism regulates the action of the hormones.|science>>control and coordination
Reproduction unlike other life processes is not essential to maintain the life of an individual organism.|science>>how do organisms reproduce?
Reproduction involves creation of a DNA copy and additional cellular apparatus by the cell involved in the process.|science>>how do organisms reproduce?
Various organisms use different modes of reproduction depending on their body design.|science>>how do organisms reproduce?
In fission many bacteria and protozoa simply divide into two or more daughter cells.|science>>how do organisms reproduce?
Organisms such as hydra can regenerate if they are broken into pieces. They can also give out buds which mature into new individuals.|science>>how do organisms reproduce?
Roots stems and leaves of some plants develop into new plants through vegetative propagation|science>>how do organisms reproduce?
These are examples of asexual reproduction where new generations are created from a single individual.|science>>how do organisms reproduce?
Sexual reproduction involves two individuals for the creation of a new individual.|science>>how do organisms reproduce?
DNA copying mechanisms creates variations which are useful for ensuring the survival of the species. Modes of sexual reproduction allow for greater variation to be generated.|science>>how do organisms reproduce?
Reproduction in flowering plants involves transfer of pollen grains from the anther to the stigma which is referred to as pollination. This is followed by fertilisation.|science>>how do organisms reproduce?
Changes in the body at puberty such as increase in breast size in girls and new facial hair growth in boys are signs of sexual maturation.|science>>how do organisms reproduce?
The male reproductive system in human beings consists of testes which produce sperms vas deferens seminal vesicles prostate gland urethra and penis.|science>>how do organisms reproduce?
The female reproductive system in human beings consists of ovaries fallopian tubes uterus and vagina.|science>>how do organisms reproduce?
Sexual reproduction in human beings involves the introduction of sperm in the vagina of the female. Fertilisation occurs in the fallopian tube.|science>>how do organisms reproduce?
Speciation may take place when variation is combined with geographical isolation.|science>>heredity and evolution
Evolutionary relationships are traced in the classification of organisms.|science>>heredity and evolution
Tracing common ancestors back in time leads us to the idea that at some point of time non-living material must have given rise to life.|science>>heredity and evolution
Evolution can be worked out by the study of not just living species but also fossils.|science>>heredity and evolution
Complex organs may have evolved because of the survival advantage of even the intermediate stages.|science>>heredity and evolution
Organs or features may be adapted to new functions during the course of evolution.|science>>heredity and evolution
Light seems to travel in straight lines.|science>>light - reflection and refraction
Mirrors and lenses form images of objects. Images can be either real or virtual, depending on the position of the object.|science>>light - reflection and refraction
The reflecting surfaces of all types obey the laws of reflection. The refracting surfaces obey the laws of refraction.|science>>light - reflection and refraction
Mirror formula gives the relationship between the object-distance (u) image-distance (v) and focal length (f) of a spherical mirror.|science>>light - reflection and refraction
The focal length of a spherical mirror is equal to half its radius of curvature.|science>>light - reflection and refraction
The magnification produced by a spherical mirror is the ratio of the height of the image to the height of the object.|science>>light - reflection and refraction
A light ray travelling obliquely from a denser medium to a rarer medium bends away from the normal.|science>>light - reflection and refraction
A light ray bends towards the normal when it travels obliquely from a rarer to a denser medium.|science>>light - reflection and refraction
The speed of light is different in different media.|science>>light - reflection and refraction
The refractive index of a transparent medium is the ratio of the speed of light in vacuum to that in the medium.|science>>light - reflection and refraction
Power of a lens is the reciprocal of its focal length.|science>>light - reflection and refraction
